loc,loc_,loc_pair
National Police Foundation,1019.0,"('National Police Foundation', 1019.0)"
Jhang Syedan,740.0,"('Jhang Syedan', 740.0)"
Arsalan Town,141.0,"('Arsalan Town', 141.0)"
Kashmir Highway,789.0,"('Kashmir Highway', 789.0)"
Usman Town,1458.0,"('Usman Town', 1458.0)"
Zulfiqar Colony,1507.0,"('Zulfiqar Colony', 1507.0)"
Gulbahar Scheme,561.0,"('Gulbahar Scheme', 561.0)"
Misri Shah,961.0,"('Misri Shah', 961.0)"
Punjab Small Industries Colony,1151.0,"('Punjab Small Industries Colony', 1151.0)"
Shalimar Link Road,1332.0,"('Shalimar Link Road', 1332.0)"
Airline Housing Society,48.0,"('Airline Housing Society', 48.0)"
Airport Road,53.0,"('Airport Road', 53.0)"
Ichhra,678.0,"('Ichhra', 678.0)"
Kamahan Road,773.0,"('Kamahan Road', 773.0)"
Mehmood Booti,948.0,"('Mehmood Booti', 948.0)"
Kot Lakhpat,838.0,"('Kot Lakhpat', 838.0)"
Pakki Thatti,1109.0,"('Pakki Thatti', 1109.0)"
Canal View,264.0,"('Canal View', 264.0)"
Al-Hafiz Town,87.0,"('Al-Hafiz Town', 87.0)"
Pir Naseer,1133.0,"('Pir Naseer', 1133.0)"
IBL Housing Scheme,673.0,"('IBL Housing Scheme', 673.0)"
Gulshan-e-Lahore,601.0,"('Gulshan-e-Lahore', 601.0)"
Qadri Colony,1154.0,"('Qadri Colony', 1154.0)"
Audit & Accounts Housing Society,170.0,"('Audit & Accounts Housing Society', 170.0)"
Tariq Gardens,1418.0,"('Tariq Gardens', 1418.0)"
Hameedpura,637.0,"('Hameedpura', 637.0)"
Empress Road,436.0,"('Empress Road', 436.0)"
Khayaban-e-Jinnah Road,813.0,"('Khayaban-e-Jinnah Road', 813.0)"
Ahmad Housing Society,41.0,"('Ahmad Housing Society', 41.0)"
Jallo Park Road,717.0,"('Jallo Park Road', 717.0)"
Green Cap Housing Society,545.0,"('Green Cap Housing Society', 545.0)"
Bismillah Housing Scheme,240.0,"('Bismillah Housing Scheme', 240.0)"
Fateh Garh,470.0,"('Fateh Garh', 470.0)"
Raiwind Road,1179.0,"('Raiwind Road', 1179.0)"
Jubilee Town,749.0,"('Jubilee Town', 749.0)"
Park View Villas,1118.0,"('Park View Villas', 1118.0)"
Sant Nagar,1280.0,"('Sant Nagar', 1280.0)"
Al Rehman Garden,82.0,"('Al Rehman Garden', 82.0)"
Harbanspura,642.0,"('Harbanspura', 642.0)"
Qazi Town,1161.0,"('Qazi Town', 1161.0)"
Madina Town,900.0,"('Madina Town', 900.0)"
Gulshan-e-Rafique,604.0,"('Gulshan-e-Rafique', 604.0)"
Rachna Town,1171.0,"('Rachna Town', 1171.0)"
Eden Valley,429.0,"('Eden Valley', 429.0)"
Ghalib City,519.0,"('Ghalib City', 519.0)"
Sargodha Road,1286.0,"('Sargodha Road', 1286.0)"
Samundari Road,1275.0,"('Samundari Road', 1275.0)"
Jaranwala,729.0,"('Jaranwala', 729.0)"
Peshawar Road,1128.0,"('Peshawar Road', 1128.0)"
Baloch Colony,207.0,"('Baloch Colony', 207.0)"
Manzoor Colony,927.0,"('Manzoor Colony', 927.0)"
Aisha Manzil,54.0,"('Aisha Manzil', 54.0)"
