location,p_counts,min_price,max_price,mean_price
Rail Town (Canal City),13,12500000,41000000,18076923.076923076
Railway Officers Colony,2,11500000,18500000,15000000.0
Raiwind Road,79,1100000,35000000,12813291.139240507
Raj Garh,12,4200000,55000000,16808333.333333332
Rajgarh Road,11,9000000,17500000,16090909.090909092
Rajpoot Town,5,9000000,27500000,17700000.0
Rana Shaukat Mehmood Road,1,9000000,9000000,9000000.0
Rana Town,22,1200000,8000000,4422727.2727272725
Rang Mahal,3,6500000,15000000,10000000.0
Rasool Park,34,2000000,60000000,15529411.764705881
Ravi Park,5,6800000,25000000,14480000.0
Ravi Road,14,7500000,52500000,18928571.42857143
Real Cottages,1,10000000,10000000,10000000.0
Rehan Garden,24,3300000,22500000,10360000.0
Rehman City - Phase 4,8,2300000,12000000,4400000.0
Rehman Gardens,3,10000000,16000000,12666666.666666666
Rehman Housing Society,1,10500000,10500000,10500000.0
Rehman Park,8,6500000,9000000,7112500.0
Rehman Villas,6,5500000,13000000,10283333.333333334
Rehmanpura (Ferozpur Road),37,8500000,37500000,13537837.837837838
Rehmanpura (Harbanspura),2,8000000,28000000,18000000.0
Revenue Society,92,8500000,65000000,22961956.52173913
Rewaz Garden,1,7000000,7000000,7000000.0
Rifle Range Road,5,11000000,65000000,23440000.0
Ring Road,14,2000000,17000000,6871428.571428572
River View Coop Housing Society,2,24500000,55000000,39750000.0
Riwaz Garden,10,4500000,46500000,26420000.0
Rizwan Garden Scheme,40,3800000,31000000,9480000.0
Royal Garden,5,8000000,11500000,9600000.0
Royal Residencia,4,6500000,18500000,11875000.0
Rustam Park,22,3800000,45000000,7877272.7272727275
Saadat Avenue,1,9500000,9500000,9500000.0
Sabzazar Scheme,475,2000000,120000000,13496736.842105264
Sadaat Town,8,9900000,45000000,15000000.0
Saggian,6,2700000,6500000,4316666.666666667
Saggian Wala Bypass Road,5,2450000,8500000,5030000.0
Sahafi Colony,15,9500000,30000000,18400000.0
Saiden Shah Colony,22,4000000,26000000,9640909.090909092
Saidpur,8,3300000,9500000,5337500.0
Sajid Garden,24,5800000,19000000,10495833.333333334
Salamatpura,31,2450000,16000000,6522580.645161291
Salli Town,13,4000000,20000000,13084615.384615384
Sally Town South,4,6500000,20000000,14000000.0
Saman Berg,3,27500000,36500000,32166666.666666668
Samanabad,590,2500000,77000000,12403372.881355932
Samanzar Colony,1,3700000,3700000,3700000.0
Sami Town,40,5000000,38000000,10092500.0
Samsani Road,1,8500000,8500000,8500000.0
Sanda,38,4700000,29000000,10110526.315789474
Sanda Road,9,3200000,22500000,11477777.777777778
Sant Nagar,22,3500000,95000000,18527272.727272727
Saqib Town,3,5500000,26500000,13166666.666666666
Saroba Gardens Housing Society,3,12500000,15000000,14000000.0
Sarwar Town,14,3000000,7500000,3735714.285714286
Shadab Garden,87,2999000,15500000,8162057.471264368
Shadbagh,76,1550000,120000000,15136842.105263159
Shadipura,8,2400000,9000000,4362500.0
Shadman 1,23,32500000,182000000,73565217.39130434
Shadman 2,19,12500000,300000000,81473684.21052632
